Lake,Date,Julian,DentA,DentJ,DentM,DentE,DentTot,PulA,PulJ,PulMale,PulE,PulTot,RetroA,RetroJ,RetroM,REtroE,RetroTot,CerioA,CerioJ,CerioE,CerioTot,DubiaA,DubiaJ,DubiaM,DubiaE,DubiaTot,ParvA,ParvJ,ParvM,ParvE,ParvTot,AmbA,AmbJ,AmbTot
LittleAppleton,11/13/2017,2017317,30960.25155,43860.35637,38700.31444,15480.12578,129001.0481,0,0,0,0,0,0,0,0,0,0,15480.12578,38700.31444,15480.12578,69660.56599,0,0,0,0,0,5160.041925,0,0,0,5160.041925,2580.020963,10320.08385,12900.10481
CrookedP,11/7/2017,2017311,154801.2578,162541.3206,425703.4588,119970.9748,863017.012,0,0,0,0,0,67080.54503,110940.9014,41280.3354,0,219301.7818,11610.09433,11610.09433,7740.062888,30960.25155,0,0,0,0,0,472143.8362,278642.264,15480.12578,19350.15722,785616.3831,2580.020963,0,2580.020963
LittleAppleton,10/3/2017,2017276,25800.20963,69660.56599,7740.062888,0,103200.8385,0,0,0,0,0,15480.12578,3870.031444,3870.031444,0,23220.18866,243811.981,460533.7418,0,704345.7228,0,0,0,0,0,7740.062888,2580.020963,2580.020963,0,12900.10481,0,0,0
CrookedP,9/28/2017,2017271,144481.1739,198661.6141,2580.020963,0,345722.809,0,0,0,0,0,69660.56599,162541.3206,0,0,232201.8866,3870.031444,15480.12578,0,19350.15722,0,15480.12578,0,0,15480.12578,23220.18866,61920.5031,0,0,85140.69177,7740.062888,0,7740.062888
CrookedP,9/21/2017,2017264,154801.2578,104490.849,3870.031444,0,263162.1382,3870.031444,0,0,0,3870.031444,56760.46118,51600.41925,0,0,108360.8804,19350.15722,5805.047166,0,17415.1415,0,0,0,0,0,34830.283,40635.33016,1935.015722,0,59985.48738,0,0,0
LittleAppleton,9/18/2017,2017261,178021.4464,425703.4588,0,0,603724.9053,0,0,0,0,0,7740.062888,7740.062888,0,0,15480.12578,1528662.42,1420301.54,0,2948963.96,0,3870.031444,0,0,3870.031444,11610.09433,23220.18866,0,0,34830.283,0,0,0
CrookedP,9/13/2017,2017256,348302.83,379263.0815,3870.031444,0,731435.9429,0,0,0,0,0,49020.39829,38700.31444,0,0,87720.71273,27090.22011,23220.18866,0,50310.40877,0,0,0,0,0,23220.18866,25155.20439,0,0,48375.39305,3870.031444,0,3870.031444
LittleAppleton,9/8/2017,2017251,189631.5408,967507.861,0,0,1157139.402,0,0,0,0,0,3870.031444,0,0,0,3870.031444,1691203.741,1749254.213,0,3440457.954,0,0,0,0,0,3870.031444,27090.22011,0,0,30960.25155,0,0,0
CrookedP,10/25/2017,2017298,313472.547,119970.9748,243811.981,108360.8804,785616.3831,0,0,0,0,0,74820.60792,46440.37733,10320.08385,0,131581.0691,11610.09433,5805.047166,15480.12578,32895.26727,0,0,0,0,0,73530.59744,50310.40877,11610.09433,0,135451.1005,0,0,0
LittleAppleton,10/13/2017,2017286,23220.18866,18060.14674,0,0,41280.3354,0,0,0,0,0,0,2580.020963,0,0,2580.020963,79980.64984,208981.698,0,288962.3478,0,0,0,0,0,0,0,0,0,0,0,0,0
CrookedP,8/31/2017,2017243,92880.75466,123841.0062,0,0,216721.7609,0,0,0,0,0,27090.22011,30960.25155,0,0,58050.47166,28380.23059,30960.25155,0,59340.48214,0,0,0,0,0,19350.15722,11610.09433,0,0,30960.25155,0,0,0
LittleAppleton,8/28/2017,2017240,181891.4779,781746.3517,0,0,963637.8296,0,0,0,0,0,0,3870.031444,0,0,3870.031444,975247.9239,557284.5279,0,1532532.452,3870.031444,7740.062888,0,0,11610.09433,0,3870.031444,0,0,3870.031444,0,0,0
LittleAppleton,7/27/2017,2017208,669515.4398,1447391.76,0,0,2116907.2,0,0,0,0,0,3870.031444,3870.031444,0,0,7740.062888,100620.8175,46440.37733,0,147061.1949,0,0,0,0,0,0,3870.031444,0,0,3870.031444,0,0,0
CrookedP,8/3/2017,2017215,417963.396,468273.8047,0,0,886237.2007,12900.10481,0,0,0,12900.10481,18060.14674,28380.23059,0,0,46440.37733,112230.9119,77400.62888,0,189631.5408,2580.020963,0,0,0,2580.020963,10320.08385,18060.14674,0,0,28380.23059,0,0,0
LittleAppleton,10/27/2017,2017300,28380.23059,49020.39829,10320.08385,2580.020963,90300.73369,0,0,0,0,0,0,0,0,0,0,36120.29348,43860.35637,18060.14674,98040.79658,0,0,0,0,0,2580.020963,0,0,0,2580.020963,0,0,0
LittleAppleton,10/31/2017,2017304,7740.062888,25800.20963,2580.020963,0,36120.29348,0,0,0,0,0,5160.041925,0,2580.020963,0,7740.062888,10320.08385,28380.23059,2580.020963,41280.3354,0,0,0,0,0,0,0,0,0,0,5160.041925,0,5160.041925
CrookedP,10/30/2017,2017303,180601.4674,131581.0691,301862.4526,162541.3206,776586.3098,2580.020963,0,0,0,2580.020963,105780.8595,79980.64984,38700.31444,0,224461.8238,12900.10481,2580.020963,5160.041925,20640.1677,0,0,0,0,0,205111.6665,232201.8866,30960.25155,0,468273.8047,0,0,0
CrookedP,7/18/2017,2017199,545674.4336,274772.2325,0,0,820446.6661,23220.18866,7740.062888,0,0,30960.25155,0,7740.062888,0,0,7740.062888,59340.48214,36120.29348,0,95460.77562,0,0,0,0,0,92880.75466,36120.29348,0,0,129001.0481,0,0,0
LittleAppleton,10/7/2017,2017280,30960.25155,30960.25155,0,0,61920.5031,0,0,0,0,0,0,0,0,0,0,255422.0753,127711.0377,0,383133.113,0,0,0,0,0,0,0,0,0,0,0,0,0
CrookedP,10/9/2017,2017282,410223.3331,414093.3645,81270.66032,3870.031444,909457.3893,0,0,0,0,0,46440.37733,92880.75466,2580.020963,0,141901.1529,10320.08385,18060.14674,0,28380.23059,0,0,0,0,0,46440.37733,104490.849,11610.09433,0,162541.3206,0,0,0
LittleAppleton,8/10/2017,2017222,936547.6094,1815044.747,0,0,2751592.357,0,0,0,0,0,3870.031444,0,0,0,3870.031444,634685.1568,224461.8238,0,859146.9806,0,0,0,0,0,0,0,0,0,0,0,0,0
CrookedP,8/16/2017,2017228,394743.2073,267032.1696,0,0,661775.3769,0,1548.012578,0,0,1548.012578,0,50310.40877,0,0,50310.40877,95460.77562,43860.35637,0,139321.132,0,0,0,0,0,10836.08804,13932.1132,0,0,24768.20124,0,0,0
